X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,y
4,7.0,18.0,25.0,28.0,27.0,20.0,10.0,-10.0,-18.0,-20.0,-16.0,13.0,32.0,12.0,10.0,0.0
87,114.0,120.0,106.0,76.0,54.0,28.0,5.0,-19.0,-49.0,-85.0,-102.0,-100.0,-89.0,-61.0,-21.0,0.0
68,104.0,73.0,34.0,-12.0,-26.0,-38.0,-36.0,-67.0,-88.0,-25.0,31.0,18.0,-4.0,6.0,-29.0,0.0
-67,-90.0,-97.0,-94.0,-86.0,-71.0,-43.0,-11.0,23.0,46.0,58.0,50.0,39.0,19.0,-9.0,-41.0,0.0
-47,-52.0,-45.0,-41.0,-29.0,-24.0,-21.0,-19.0,-13.0,-3.0,-2.0,4.0,11.0,14.0,11.0,14.0,0.0
-67,-30.0,7.0,33.0,51.0,79.0,105.0,122.0,132.0,115.0,83.0,42.0,10.0,-22.0,-47.0,-57.0,0.0
72,60.0,67.0,69.0,55.0,46.0,30.0,23.0,31.0,40.0,51.0,54.0,65.0,69.0,60.0,50.0,0.0
56,14.0,-12.0,-38.0,-73.0,-115.0,-137.0,-130.0,-78.0,-18.0,33.0,85.0,132.0,196.0,244.0,258.0,0.0
-17,-16.0,-12.0,13.0,53.0,84.0,77.0,57.0,24.0,-20.0,-39.0,-45.0,-40.0,-35.0,-19.0,-4.0,0.0
-8,37.0,72.0,94.0,122.0,140.0,145.0,119.0,108.0,96.0,82.0,50.0,-22.0,-97.0,-140.0,-142.0,0.0
13,-7.0,-23.0,-25.0,-10.0,3.0,20.0,25.0,16.0,2.0,2.0,16.0,26.0,22.0,19.0,28.0,0.0
125,41.0,-42.0,-91.0,-82.0,-47.0,-41.0,23.0,70.0,96.0,77.0,61.0,98.0,83.0,91.0,92.0,0.0
121,118.0,105.0,74.0,38.0,-1.0,-37.0,-66.0,-77.0,-67.0,-47.0,-23.0,7.0,14.0,20.0,15.0,0.0
22,7.0,-26.0,-41.0,-29.0,3.0,-21.0,-37.0,-29.0,-37.0,-6.0,14.0,-37.0,-64.0,-82.0,-90.0,0.0
99,85.0,47.0,16.0,-19.0,-37.0,-67.0,-90.0,-108.0,-103.0,-69.0,-32.0,0.0,25.0,39.0,37.0,0.0
56,68.0,72.0,79.0,110.0,126.0,122.0,94.0,61.0,39.0,31.0,40.0,48.0,62.0,71.0,88.0,0.0
-22,-36.0,-47.0,-48.0,-39.0,-33.0,-28.0,-17.0,-10.0,-15.0,-24.0,-27.0,-29.0,-24.0,-4.0,6.0,0.0
7,16.0,27.0,20.0,17.0,7.0,0.0,-13.0,-21.0,-21.0,-28.0,-23.0,-17.0,-19.0,-18.0,-6.0,0.0
